Time,AD3_0_ai0,AD3_0_ai1
22.3 sec,2.96618360795458,3.03199106975709
22.4 sec,2.96527071165386,3.03199106975709
22.5 sec,2.96618360795458,3.03199106975709
22.6 sec,2.96709650425531,3.03199106975709
22.7 sec,2.96618360795458,3.03199106975709
22.8 sec,2.96618360795458,3.03199106975709
22.9 sec,2.96618360795458,3.03199106975709
23 sec,2.96618360795458,3.03199106975709
23.1 sec,2.96709650425531,3.03199106975709
23.2 sec,2.96800940055603,3.0329050579555
23.3 sec,2.96709650425531,3.0329050579555
23.4 sec,2.96618360795458,3.03381904615392
23.5 sec,2.96618360795458,3.0329050579555
23.6 sec,2.96527071165386,3.03199106975709
23.7 sec,2.96527071165386,3.03199106975709
23.8 sec,2.96618360795458,3.0329050579555
23.9 sec,2.96618360795458,3.0329050579555
24 sec,2.96618360795458,3.03199106975709
24.1 sec,2.96709650425531,3.0329050579555
24.2 sec,2.96709650425531,3.0329050579555
24.3 sec,2.96618360795458,3.03199106975709
24.4 sec,2.96709650425531,3.0329050579555
24.5 sec,2.96618360795458,3.03199106975709
24.6 sec,2.96618360795458,3.03199106975709
24.7 sec,2.96618360795458,3.03107708155867
24.8 sec,2.96618360795458,3.03107708155867
24.9 sec,2.96618360795458,3.03199106975709
25 sec,2.96618360795458,3.03199106975709
25.1 sec,2.96618360795458,3.03107708155867
25.2 sec,2.96618360795458,3.03107708155867
25.3 sec,2.96618360795458,3.03199106975709
25.4 sec,2.96527071165386,3.03107708155867
25.5 sec,2.96527071165386,3.03107708155867
25.6 sec,2.96527071165386,3.03016309336026
25.7 sec,2.96618360795458,3.03107708155867
25.8 sec,2.96618360795458,3.03199106975709
25.9 sec,2.96618360795458,3.03107708155867
26 sec,2.96527071165386,3.03107708155867
26.1 sec,2.96618360795458,3.03199106975709
26.2 sec,2.96618360795458,3.03107708155867
26.3 sec,2.96618360795458,3.03107708155867
26.4 sec,2.96527071165386,3.03107708155867
26.5 sec,2.96527071165386,3.03107708155867
26.6 sec,2.96527071165386,3.03199106975709
26.7 sec,2.96527071165386,3.03199106975709
26.8 sec,2.96527071165386,3.03199106975709
26.9 sec,2.96618360795458,3.03199106975709
27 sec,2.96618360795458,3.03199106975709
27.1 sec,2.96618360795458,3.0329050579555
27.2 sec,2.96618360795458,3.03199106975709
27.3 sec,2.96527071165386,3.03107708155867
27.4 sec,2.96618360795458,3.03107708155867
27.5 sec,2.96435781535313,3.03107708155867
27.6 sec,2.96618360795458,3.03107708155867
27.7 sec,2.96618360795458,3.03107708155867
27.8 sec,2.96618360795458,3.03107708155867
27.9 sec,2.96618360795458,3.03199106975709
28 sec,2.96435781535313,3.03107708155867
28.1 sec,2.96618360795458,3.03199106975709
28.2 sec,2.96618360795458,3.03199106975709
28.3 sec,2.96527071165386,3.03016309336026
28.4 sec,2.96618360795458,3.03199106975709
28.5 sec,2.96618360795458,3.03199106975709
28.6 sec,2.96618360795458,3.0329050579555
28.7 sec,2.96527071165386,3.03199106975709
28.8 sec,2.96618360795458,3.03199106975709
28.9 sec,2.96618360795458,3.0329050579555
29 sec,2.96618360795458,3.0329050579555
29.1 sec,2.96527071165386,3.0329050579555
29.2 sec,2.96527071165386,3.03199106975709
29.3 sec,2.96618360795458,3.03199106975709
29.4 sec,2.96618360795458,3.03199106975709
29.5 sec,2.96618360795458,3.03199106975709
29.6 sec,2.96618360795458,3.0329050579555
29.7 sec,2.96618360795458,3.0329050579555
29.8 sec,2.96618360795458,3.0329050579555
29.9 sec,2.96618360795458,3.03199106975709
30 sec,2.96618360795458,3.0329050579555
30.1 sec,2.96618360795458,3.0329050579555
30.2 sec,2.96618360795458,3.03199106975709
30.3 sec,2.96709650425531,3.0329050579555
30.4 sec,2.96618360795458,3.0329050579555
30.5 sec,2.96618360795458,3.03199106975709
30.6 sec,2.96709650425531,3.03381904615392
30.7 sec,2.96800940055603,3.03381904615392
30.8 sec,2.96800940055603,3.03473303435233
30.9 sec,2.96709650425531,3.03381904615392
31 sec,2.96709650425531,3.0329050579555
31.1 sec,2.96800940055603,3.03199106975709
31.2 sec,2.96800940055603,3.0329050579555
31.3 sec,2.96892229685676,3.03473303435233
31.4 sec,2.97074808945821,3.03656101074916
31.5 sec,2.96983519315748,3.03564702255075
31.6 sec,2.97074808945821,3.03656101074916
31.7 sec,2.97074808945821,3.03656101074916
31.8 sec,2.97074808945821,3.03656101074916
31.9 sec,2.97074808945821,3.03656101074916
32 sec,2.97166098575893,3.03747499894758
32.1 sec,2.97166098575893,3.038388987146
32.2 sec,2.97074808945821,3.038388987146
32.3 sec,2.97074808945821,3.03747499894758
32.4 sec,2.97074808945821,3.03747499894758
32.5 sec,2.97166098575893,3.038388987146
32.6 sec,2.97074808945821,3.03747499894758
32.7 sec,2.97074808945821,3.03747499894758
32.8 sec,2.97074808945821,3.03656101074916
32.9 sec,2.97074808945821,3.03747499894758
33 sec,2.97074808945821,3.03747499894758
33.1 sec,2.97166098575893,3.038388987146
33.2 sec,2.97166098575893,3.03747499894758
33.3 sec,2.97074808945821,3.03747499894758
33.4 sec,2.97166098575893,3.03747499894758
33.5 sec,2.97166098575893,3.03747499894758
33.6 sec,2.97166098575893,3.038388987146
33.7 sec,2.97166098575893,3.03747499894758
33.8 sec,2.97257388205966,3.038388987146
33.9 sec,2.97257388205966,3.038388987146
34 sec,2.97166098575893,3.03747499894758
34.1 sec,2.97166098575893,3.038388987146
34.2 sec,2.97166098575893,3.038388987146
34.3 sec,2.97074808945821,3.03656101074916
34.4 sec,2.97074808945821,3.03656101074916
34.5 sec,2.97166098575893,3.03747499894758
34.6 sec,2.97074808945821,3.03747499894758
34.7 sec,2.97166098575893,3.038388987146
34.8 sec,2.97166098575893,3.038388987146
34.9 sec,2.97166098575893,3.03930297534441
35 sec,2.97257388205966,3.03930297534441
35.1 sec,2.97257388205966,3.03747499894758
35.2 sec,2.97257388205966,3.03747499894758
35.3 sec,2.97166098575893,3.03656101074916
